A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_ett20_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3262       0.3264      -0.0002
eff overall (pt>0.9)             0.8124       0.8136      -0.0012
eff vxy [0,1)                    0.8452       0.8473      -0.0022
eff vxy [1,5)                    0.8021       0.7731      +0.0290
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8397       0.8342      +0.0055
eff dxy [1,5)                    0.5622       0.4989      +0.0633
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9236       0.9242      -0.0006
eff transition 1.1-1.7           0.8793       0.8826      -0.0033
eff endcap >1.7                  0.7546       0.7556      -0.0010
dup rate (pt sums)               0.0607       0.0499      +0.0108
dup rate (pt>0.9)                0.0628       0.0513      +0.0115
dup rate barrel                  0.0148       0.0097      +0.0050
dup rate transition              0.0250       0.0130      +0.0120
dup rate endcap                  0.0989       0.0846      +0.0143
fake rate (pt sums)              0.0468       0.0451      +0.0017
fake rate (pt>0.9)               0.0475       0.0455      +0.0020
fake rate barrel                 0.0525       0.0437      +0.0088
fake rate transition             0.0566       0.0459      +0.0107
fake rate endcap                 0.0423       0.0463      -0.0041
mean nhitOT                       6.287        6.514       -0.227
mean nhitOT barrel                9.801       10.151       -0.350
mean nhitOT transition            9.731       10.010       -0.279
mean nhitOT endcap                3.445        3.559       -0.114
n TC (fr denom)                  618196       610581        +7615
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/compose/cs2_ett20.json
