A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_d_both_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3242       0.3264      -0.0022
eff overall (pt>0.9)             0.8082       0.8136      -0.0054
eff vxy [0,1)                    0.8412       0.8473      -0.0061
eff vxy [1,5)                    0.7943       0.7731      +0.0212
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8356       0.8342      +0.0014
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9154       0.9242      -0.0088
eff transition 1.1-1.7           0.8781       0.8826      -0.0045
eff endcap >1.7                  0.7526       0.7556      -0.0030
dup rate (pt sums)               0.0696       0.0499      +0.0197
dup rate (pt>0.9)                0.0715       0.0513      +0.0202
dup rate barrel                  0.0319       0.0097      +0.0221
dup rate transition              0.0489       0.0130      +0.0359
dup rate endcap                  0.0999       0.0846      +0.0153
fake rate (pt sums)              0.0614       0.0451      +0.0163
fake rate (pt>0.9)               0.0640       0.0455      +0.0185
fake rate barrel                 0.0804       0.0437      +0.0367
fake rate transition             0.0808       0.0459      +0.0349
fake rate endcap                 0.0500       0.0463      +0.0036
mean nhitOT                       6.507        6.514       -0.007
mean nhitOT barrel                9.935       10.151       -0.215
mean nhitOT transition            9.889       10.010       -0.121
mean nhitOT endcap                3.628        3.559       +0.068
n TC (fr denom)                  627226       610581       +16645
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_d_both.json
