A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_h_a_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoA/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3264      -0.0019
eff overall (pt>0.9)             0.8087       0.8136      -0.0049
eff vxy [0,1)                    0.8417       0.8473      -0.0057
eff vxy [1,5)                    0.7951       0.7731      +0.0219
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8361       0.8342      +0.0019
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9159       0.9242      -0.0083
eff transition 1.1-1.7           0.8793       0.8826      -0.0033
eff endcap >1.7                  0.7529       0.7556      -0.0027
dup rate (pt sums)               0.0480       0.0499      -0.0019
dup rate (pt>0.9)                0.0484       0.0513      -0.0029
dup rate barrel                  0.0136       0.0097      +0.0039
dup rate transition              0.0188       0.0130      +0.0058
dup rate endcap                  0.0758       0.0846      -0.0088
fake rate (pt sums)              0.0488       0.0451      +0.0037
fake rate (pt>0.9)               0.0492       0.0455      +0.0037
fake rate barrel                 0.0572       0.0437      +0.0134
fake rate transition             0.0602       0.0459      +0.0143
fake rate endcap                 0.0417       0.0463      -0.0046
mean nhitOT                       6.504        6.514       -0.010
mean nhitOT barrel               10.049       10.151       -0.102
mean nhitOT transition           10.026       10.010       +0.017
mean nhitOT endcap                3.564        3.559       +0.005
n TC (fr denom)                  611376       610581         +795
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_h_a.json
