A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_E_G1X5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3283       0.3281      +0.0001
eff overall (pt>0.9)             0.8110       0.8099      +0.0011
eff vxy [0,1)                    0.8439       0.8430      +0.0010
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8383       0.8307      +0.0076
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9280       0.9256      +0.0024
eff transition 1.1-1.7           0.8839       0.8819      +0.0020
eff endcap >1.7                  0.7455       0.7460      -0.0004
dup rate (pt sums)               0.0710       0.0503      +0.0206
dup rate (pt>0.9)                0.0712       0.0518      +0.0194
dup rate barrel                  0.0535       0.0099      +0.0437
dup rate transition              0.0546       0.0126      +0.0419
dup rate endcap                  0.0860       0.0856      +0.0004
fake rate (pt sums)              0.0536       0.0447      +0.0089
fake rate (pt>0.9)               0.0553       0.0448      +0.0105
fake rate barrel                 0.0663       0.0425      +0.0239
fake rate transition             0.0683       0.0445      +0.0237
fake rate endcap                 0.0452       0.0460      -0.0008
mean nhitOT                       6.405        6.519       -0.114
mean nhitOT barrel                9.729       10.148       -0.419
mean nhitOT transition            9.762       10.015       -0.254
mean nhitOT endcap                3.550        3.562       -0.013
n TC (fr denom)                  622474       608190       +14284
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_E_G1X5.json
