A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_C_F10A60_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3282       0.3281      +0.0001
eff overall (pt>0.9)             0.8109       0.8099      +0.0010
eff vxy [0,1)                    0.8438       0.8430      +0.0008
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7390       0.6645      +0.0745
eff dxy [0,1)                    0.8381       0.8307      +0.0074
eff dxy [1,5)                    0.6143       0.5541      +0.0602
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9276       0.9256      +0.0020
eff transition 1.1-1.7           0.8834       0.8819      +0.0015
eff endcap >1.7                  0.7458       0.7460      -0.0001
dup rate (pt sums)               0.0595       0.0503      +0.0091
dup rate (pt>0.9)                0.0600       0.0518      +0.0082
dup rate barrel                  0.0351       0.0099      +0.0252
dup rate transition              0.0340       0.0126      +0.0213
dup rate endcap                  0.0813       0.0856      -0.0042
fake rate (pt sums)              0.0481       0.0447      +0.0034
fake rate (pt>0.9)               0.0487       0.0448      +0.0040
fake rate barrel                 0.0543       0.0425      +0.0118
fake rate transition             0.0592       0.0445      +0.0146
fake rate endcap                 0.0426       0.0460      -0.0035
mean nhitOT                       6.450        6.519       -0.068
mean nhitOT barrel                9.875       10.148       -0.273
mean nhitOT transition            9.906       10.015       -0.109
mean nhitOT endcap                3.545        3.562       -0.017
n TC (fr denom)                  614865       608190        +6675
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_C_F10A60.json
