A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_H_W50R6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3277       0.3281      -0.0004
eff overall (pt>0.9)             0.8096       0.8099      -0.0003
eff vxy [0,1)                    0.8425       0.8430      -0.0005
eff vxy [1,5)                    0.7917       0.7719      +0.0197
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7406       0.6645      +0.0761
eff dxy [0,1)                    0.8368       0.8307      +0.0061
eff dxy [1,5)                    0.6154       0.5541      +0.0613
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9266       0.9256      +0.0010
eff transition 1.1-1.7           0.8806       0.8819      -0.0013
eff endcap >1.7                  0.7448       0.7460      -0.0011
dup rate (pt sums)               0.0614       0.0503      +0.0111
dup rate (pt>0.9)                0.0622       0.0518      +0.0104
dup rate barrel                  0.0434       0.0099      +0.0335
dup rate transition              0.0338       0.0126      +0.0212
dup rate endcap                  0.0810       0.0856      -0.0046
fake rate (pt sums)              0.0543       0.0447      +0.0096
fake rate (pt>0.9)               0.0559       0.0448      +0.0112
fake rate barrel                 0.0671       0.0425      +0.0246
fake rate transition             0.0709       0.0445      +0.0264
fake rate endcap                 0.0453       0.0460      -0.0007
mean nhitOT                       6.510        6.519       -0.009
mean nhitOT barrel                9.847       10.148       -0.301
mean nhitOT transition           10.110       10.015       +0.094
mean nhitOT endcap                3.593        3.562       +0.031
n TC (fr denom)                  618761       608190       +10571
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_H_W50R6.json
